Date,Symbol,Open,High,Low,Last,Close,Turnover,Trades
19-07-2022,ADANIENT,2406.95,2459.3,2405,2445,2451.3,2.05485E+14,34038
20-07-2022,ADANIENT,2462,2472.8,2444,2446,2451.1,1.70393E+14,26569
21-07-2022,ADANIENT,2453.8,2498.95,2451.25,2495,2495.5,3.26656E+14,40031
22-07-2022,ADANIENT,2505.5,2514.05,2483.1,2498.9,2499.4,2.08454E+14,31012
25-07-2022,ADANIENT,2505,2562.15,2500,2549.9,2550.6,3.09665E+14,44274
26-07-2022,ADANIENT,2555,2568.6,2533,2551,2559.7,2.2076E+14,33126
27-07-2022,ADANIENT,2560,2572.5,2528,2546.4,2548.7,2.43458E+14,30742
28-07-2022,ADANIENT,2559.9,2565.65,2531.6,2553,2550.4,1.93745E+14,23183
29-07-2022,ADANIENT,2565,2622,2560,2565.9,2569.2,2.86274E+14,37483
01-08-2022,ADANIENT,2575.85,2669.4,2569.2,2655,2660.15,3.32815E+14,40581
02-08-2022,ADANIENT,2660,2697,2640,2675,2683.65,2.93486E+14,40748
03-08-2022,ADANIENT,2685,2717,2671.2,2714.45,2711.4,2.19825E+14,32287
04-08-2022,ADANIENT,2725,2743.9,2684.25,2721,2723.6,3.32966E+14,48196
05-08-2022,ADANIENT,2760,2767.65,2685,2686.05,2698.4,4.44949E+14,75799
08-08-2022,ADANIENT,2700,2807.65,2695.65,2791,2791.9,4.35925E+14,53583
10-08-2022,ADANIENT,2801.75,2834.9,2781.55,2826,2827.2,3.66886E+14,44657
11-08-2022,ADANIENT,2841,2848.4,2815.1,2837.4,2834.05,2.77417E+14,32142
12-08-2022,ADANIENT,2840,2871.15,2834.05,2868,2864.55,2.40981E+14,33127
16-08-2022,ADANIENT,2879,2986,2871,2979,2975.85,5.79614E+14,71617
17-08-2022,ADANIENT,2986,3028.55,2980,3005,3008.65,4.54111E+14,57147
18-08-2022,ADANIENT,3005,3186,3004,3157.75,3153.65,1.09043E+15,122950
19-08-2022,ADANIENT,3178,3258.9,3075.25,3127,3130.2,1.9392E+15,229717
22-08-2022,ADANIENT,3134,3191.8,3029.2,3056.65,3051.6,1.08324E+15,139398
23-08-2022,ADANIENT,3032.65,3074,2927.4,3038.7,3030.65,1.25552E+15,157211
24-08-2022,ADANIENT,3038,3153,2986,3151.4,3134.65,1.06306E+15,132308
25-08-2022,ADANIENT,3167,3177.8,3055.7,3060.1,3066.35,9.69341E+14,113931
26-08-2022,ADANIENT,3080,3172.95,3078,3148.5,3139.55,9.08625E+14,100125
29-08-2022,ADANIENT,3055,3166.45,3037.85,3145,3142.6,6.01373E+14,78701
30-08-2022,ADANIENT,3165,3263.1,3161,3192.6,3194.35,1.41038E+15,119357
01-09-2022,ADANIENT,3200,3245,3184.4,3237,3233.25,6.04794E+14,69275
02-09-2022,ADANIENT,3261,3369.4,3225,3352,3355.8,1.60214E+15,183660
05-09-2022,ADANIENT,3374.1,3431.8,3313,3350,3346.55,1.24362E+15,146740
06-09-2022,ADANIENT,3370,3447.6,3355,3436,3435.8,8.80513E+14,108547
07-09-2022,ADANIENT,3435.8,3487.95,3406.1,3474.5,3473.75,7.56679E+14,86977
08-09-2022,ADANIENT,3499,3501.5,3450,3462.5,3462.8,5.41467E+14,52110
09-09-2022,ADANIENT,3479,3507.95,3415.15,3450,3451.2,5.59801E+14,66777
12-09-2022,ADANIENT,3465,3495.5,3457.9,3465,3463.8,5.72089E+14,43847
13-09-2022,ADANIENT,3478,3568.9,3421.3,3560.1,3555.8,1.2192E+15,122343
14-09-2022,ADANIENT,3518,3608,3511,3573,3572.1,9.80184E+14,94965
15-09-2022,ADANIENT,3590,3767.95,3575,3750.6,3748.7,1.73478E+15,155826
16-09-2022,ADANIENT,3755,3866.95,3614.6,3705,3702.2,2.1277E+15,210607
19-09-2022,ADANIENT,3718.95,3801.95,3680.75,3780.5,3778.65,1.16357E+15,120209
20-09-2022,ADANIENT,3819,3885,3812,3819,3834.55,1.28403E+15,116980
21-09-2022,ADANIENT,3837.65,3862.8,3571.25,3640,3640.1,2.24493E+15,227558
22-09-2022,ADANIENT,3639,3735.95,3608.05,3725,3716.3,1.28745E+15,134542
23-09-2022,ADANIENT,3732,3737.9,3655,3663,3674.3,1.10961E+15,104208
26-09-2022,ADANIENT,3646.3,3658,3532,3561.95,3586.2,1.12421E+15,122902
27-09-2022,ADANIENT,3596,3629.55,3485.85,3566,3559.1,1.26113E+15,121229
28-09-2022,ADANIENT,3528,3596.95,3503,3540,3548.75,8.03417E+14,76568
29-09-2022,ADANIENT,3583.5,3664.75,3443.6,3456,3470.7,5.26393E+15,154930
30-09-2022,ADANIENT,3447.95,3523.8,3371.1,3440,3455.75,1.48945E+15,143905
03-10-2022,ADANIENT,3440,3460.05,3110.2,3164.75,3157.3,2.45521E+15,242309
04-10-2022,ADANIENT,3230,3291.2,3125,3229,3237.7,1.82244E+15,206194
